Region,Year,Hectares
New South Wales,2020,2031
New South Wales,2021,2833
New South Wales,2022,1752
Victoria,2020,6981
Victoria,2021,6582
Victoria,2022,6232
Queensland,2020,2551
Queensland,2021,3442
Queensland,2022,3449
South Australia,2020,7511
South Australia,2021,9673
South Australia,2022,6183
Western Australia,2020,1715
Western Australia,2021,1651
Western Australia,2022,1940
Tasmania,2020,6269
Tasmania,2021,7245
Tasmania,2022,6825
Northern Territory,2020,0
Northern Territory,2021,0
Northern Territory,2022,0
Australian Capital Territory,2020,0
Australian Capital Territory,2021,0
Australian Capital Territory,2022,0
